file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
E:\research\repos_analysis\workspace\compiler-eclipse\src\Compiler.java,Compiler,class,2,2,0,2,4,1,0,4,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12,0,1,0,0,0,1,2,4,0,4,2,0,0,0,16,1,0
E:\research\repos_analysis\workspace\compiler-eclipse\src\Lexer.java,Lexer,class,2,5,3,2,48,1,0,26,7,0.7045455,0.4722222,0.7777778,11,0,9,2,0,0,9,0,0,0,8,2,1,7,0,0,0,0,11,185,7,4,6,1,2,36,12,48,10,22,7,0,0,0,61,1,0
E:\research\repos_analysis\workspace\compiler-eclipse\src\Token.java,Token$TokenType,enum,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0
E:\research\repos_analysis\workspace\compiler-eclipse\src\Symbol.java,Symbol,class,1,2,1,1,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,0,0,0,0,0,13,0,0,0,0,0,0,0,2,0,10,0,0,1,0,23,1,0
E:\research\repos_analysis\workspace\compiler-eclipse\src\JackClasses.java,JackClasses,class,1,3,2,1,7,1,0,5,10,0.84,0.0,0.0,5,0,2,3,0,0,2,0,0,0,5,0,5,0,0,0,4,0,0,121,2,1,0,0,0,210,0,5,0,5,2,0,0,0,27,1,0
E:\research\repos_analysis\workspace\compiler-eclipse\src\SymbolTable.java,SymbolTable,class,2,3,1,2,42,1,0,4,0,0.7486631,0.7867647,0.88235295,17,0,17,0,0,0,17,0,0,0,11,0,11,0,0,0,0,0,0,169,12,13,0,0,1,11,6,49,2,20,3,0,0,0,50,1,0
E:\research\repos_analysis\workspace\compiler-eclipse\src\Token.java,Token,class,3,6,3,3,7,1,0,5,0,0.6333334,1.0,1.0,5,0,4,1,0,0,4,0,0,0,6,0,6,0,0,0,2,0,0,55,0,0,1,0,0,55,1,12,1,7,1,0,2,0,20,1,0
E:\research\repos_analysis\workspace\compiler-eclipse\src\Token.java,Token$SymbolType,enum,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,class,5,7,2,5,441,1,0,73,0,0.7900641,NaN,NaN,26,0,1,25,0,0,1,0,0,0,24,0,0,24,0,0,0,0,26,1658,2,31,6,9,56,794,218,297,233,114,7,0,0,0,178,1,0
E:\research\repos_analysis\workspace\compiler-eclipse\src\Symbol.java,Symbol$SymbolType,enum,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0
