file,class,method,variable,usage
E:\research\repos_analysis\workspace\compiler-eclipse\src\Lexer.java,Lexer,PeekNextToken/0,index,2
E:\research\repos_analysis\workspace\compiler-eclipse\src\Lexer.java,Lexer,Lexer/1[java.lang.String],folderPath,1
E:\research\repos_analysis\workspace\compiler-eclipse\src\Lexer.java,Lexer,Lexer/1[java.lang.String],path,2
E:\research\repos_analysis\workspace\compiler-eclipse\src\Lexer.java,Lexer,Lexer/1[java.lang.String],file,1
E:\research\repos_analysis\workspace\compiler-eclipse\src\Lexer.java,Lexer,Lexer/1[java.lang.String],index,1
E:\research\repos_analysis\workspace\compiler-eclipse\src\Lexer.java,Lexer,Lexer/1[java.lang.String],textContent,1
E:\research\repos_analysis\workspace\compiler-eclipse\src\Lexer.java,Lexer,Lexer/1[java.lang.String],encoding,1
E:\research\repos_analysis\workspace\compiler-eclipse\src\Lexer.java,Lexer,Lexer/1[java.lang.String],lineNumber,1
E:\research\repos_analysis\workspace\compiler-eclipse\src\Lexer.java,Lexer,"Lexer/2[java.lang.String,java.lang.String]",folderPath,4
E:\research\repos_analysis\workspace\compiler-eclipse\src\Lexer.java,Lexer,"Lexer/2[java.lang.String,java.lang.String]",path,2
E:\research\repos_analysis\workspace\compiler-eclipse\src\Lexer.java,Lexer,"Lexer/2[java.lang.String,java.lang.String]",file,1
E:\research\repos_analysis\workspace\compiler-eclipse\src\Lexer.java,Lexer,"Lexer/2[java.lang.String,java.lang.String]",index,1
E:\research\repos_analysis\workspace\compiler-eclipse\src\Lexer.java,Lexer,"Lexer/2[java.lang.String,java.lang.String]",textContent,1
E:\research\repos_analysis\workspace\compiler-eclipse\src\Lexer.java,Lexer,"Lexer/2[java.lang.String,java.lang.String]",encoding,1
E:\research\repos_analysis\workspace\compiler-eclipse\src\Lexer.java,Lexer,"Lexer/2[java.lang.String,java.lang.String]",lineNumber,1
E:\research\repos_analysis\workspace\compiler-eclipse\src\Lexer.java,Lexer,initLocalFile/0,file,3
E:\research\repos_analysis\workspace\compiler-eclipse\src\Lexer.java,Lexer,initLocalFile/0,textContent,2
E:\research\repos_analysis\workspace\compiler-eclipse\src\Lexer.java,Lexer,initLocalFile/0,encoding,1
E:\research\repos_analysis\workspace\compiler-eclipse\src\Lexer.java,Lexer,setReadIndex/1[int],index,1
E:\research\repos_analysis\workspace\compiler-eclipse\src\Lexer.java,Lexer,getFolderPath/0,folderPath,1
E:\research\repos_analysis\workspace\compiler-eclipse\src\Lexer.java,Lexer,getTextContent/0,textContent,1
E:\research\repos_analysis\workspace\compiler-eclipse\src\Lexer.java,Lexer,getReadIndex/0,index,1
E:\research\repos_analysis\workspace\compiler-eclipse\src\Lexer.java,Lexer,TokenOperation/1[java.lang.String],newLineCheck,1
E:\research\repos_analysis\workspace\compiler-eclipse\src\Lexer.java,Lexer,TokenOperation/1[java.lang.String],index,32
E:\research\repos_analysis\workspace\compiler-eclipse\src\Lexer.java,Lexer,TokenOperation/1[java.lang.String],textContent,25
E:\research\repos_analysis\workspace\compiler-eclipse\src\Lexer.java,Lexer,TokenOperation/1[java.lang.String],lineNumber,8
E:\research\repos_analysis\workspace\compiler-eclipse\src\JackClasses.java,JackClasses,dataTypeTransferDictionary/0,dataTypeTransfer,5
E:\research\repos_analysis\workspace\compiler-eclipse\src\JackClasses.java,JackClasses,methodMatch/1[java.lang.String],methods,1
E:\research\repos_analysis\workspace\compiler-eclipse\src\JackClasses.java,JackClasses,initReturnTypeDictionary/0,returnTypes,45
E:\research\repos_analysis\workspace\compiler-eclipse\src\JackClasses.java,JackClasses,initArgumentDictionary/0,functionsArguments,45
E:\research\repos_analysis\workspace\compiler-eclipse\src\SymbolTable.java,SymbolTable,"addIdentifierSymbolTable/5[java.lang.String,Symbol.SymbolType,java.lang.String,java.lang.String,java.lang.String]",counter,1
E:\research\repos_analysis\workspace\compiler-eclipse\src\SymbolTable.java,SymbolTable,"addIdentifierSymbolTable/5[java.lang.String,Symbol.SymbolType,java.lang.String,java.lang.String,java.lang.String]",symbols,1
E:\research\repos_analysis\workspace\compiler-eclipse\src\SymbolTable.java,SymbolTable,"addIdentifierSymbolTable/5[java.lang.String,Symbol.SymbolType,java.lang.String,java.lang.String,java.lang.String]",memorySegment,2
E:\research\repos_analysis\workspace\compiler-eclipse\src\SymbolTable.java,SymbolTable,setInitOrNot/1[java.lang.String],symbols,1
E:\research\repos_analysis\workspace\compiler-eclipse\src\SymbolTable.java,SymbolTable,getIdentifierAssignDataType/1[java.lang.String],symbols,1
E:\research\repos_analysis\workspace\compiler-eclipse\src\SymbolTable.java,SymbolTable,setCounter/1[int],counter,3
E:\research\repos_analysis\workspace\compiler-eclipse\src\SymbolTable.java,SymbolTable,getInitOrNot/1[java.lang.String],symbols,1
E:\research\repos_analysis\workspace\compiler-eclipse\src\SymbolTable.java,SymbolTable,SymbolTable/0,varName,1
E:\research\repos_analysis\workspace\compiler-eclipse\src\SymbolTable.java,SymbolTable,SymbolTable/0,offset,1
E:\research\repos_analysis\workspace\compiler-eclipse\src\SymbolTable.java,SymbolTable,SymbolTable/0,dataType,1
E:\research\repos_analysis\workspace\compiler-eclipse\src\SymbolTable.java,SymbolTable,SymbolTable/0,numOfVar,1
E:\research\repos_analysis\workspace\compiler-eclipse\src\SymbolTable.java,SymbolTable,SymbolTable/0,numOfArgs,1
E:\research\repos_analysis\workspace\compiler-eclipse\src\SymbolTable.java,SymbolTable,SymbolTable/0,counter,1
E:\research\repos_analysis\workspace\compiler-eclipse\src\SymbolTable.java,SymbolTable,SymbolTable/0,functionType,1
E:\research\repos_analysis\workspace\compiler-eclipse\src\SymbolTable.java,SymbolTable,SymbolTable/0,symbols,1
E:\research\repos_analysis\workspace\compiler-eclipse\src\SymbolTable.java,SymbolTable,SymbolTable/0,returnType,1
E:\research\repos_analysis\workspace\compiler-eclipse\src\SymbolTable.java,SymbolTable,SymbolTable/0,memorySegment,1
E:\research\repos_analysis\workspace\compiler-eclipse\src\SymbolTable.java,SymbolTable,"addFunctionSymbolTable/5[java.lang.String,Symbol.SymbolType,java.util.ArrayList<java.lang.String>,java.lang.String,int]",numOfVar,2
E:\research\repos_analysis\workspace\compiler-eclipse\src\SymbolTable.java,SymbolTable,"addFunctionSymbolTable/5[java.lang.String,Symbol.SymbolType,java.util.ArrayList<java.lang.String>,java.lang.String,int]",returnType,2
E:\research\repos_analysis\workspace\compiler-eclipse\src\SymbolTable.java,SymbolTable,"addFunctionSymbolTable/5[java.lang.String,Symbol.SymbolType,java.util.ArrayList<java.lang.String>,java.lang.String,int]",symbols,1
E:\research\repos_analysis\workspace\compiler-eclipse\src\SymbolTable.java,SymbolTable,print/0,symbols,1
E:\research\repos_analysis\workspace\compiler-eclipse\src\SymbolTable.java,SymbolTable,getIdentifierBeAssignedDataType/1[java.lang.String],symbols,1
E:\research\repos_analysis\workspace\compiler-eclipse\src\SymbolTable.java,SymbolTable,"checkSymbolType/2[java.lang.String,java.lang.String]",symbols,1
E:\research\repos_analysis\workspace\compiler-eclipse\src\SymbolTable.java,SymbolTable,getArgument/1[java.lang.String],numOfArgs,2
E:\research\repos_analysis\workspace\compiler-eclipse\src\SymbolTable.java,SymbolTable,getArgument/1[java.lang.String],symbols,1
E:\research\repos_analysis\workspace\compiler-eclipse\src\SymbolTable.java,SymbolTable,getFunctionReturnType/1[java.lang.String],symbols,1
E:\research\repos_analysis\workspace\compiler-eclipse\src\SymbolTable.java,SymbolTable,findFunctionSymbol/1[java.lang.String],numOfVar,1
E:\research\repos_analysis\workspace\compiler-eclipse\src\SymbolTable.java,SymbolTable,findFunctionSymbol/1[java.lang.String],functionType,1
E:\research\repos_analysis\workspace\compiler-eclipse\src\SymbolTable.java,SymbolTable,findFunctionSymbol/1[java.lang.String],symbols,1
E:\research\repos_analysis\workspace\compiler-eclipse\src\SymbolTable.java,SymbolTable,findFunctionSymbol/1[java.lang.String],returnType,1
E:\research\repos_analysis\workspace\compiler-eclipse\src\SymbolTable.java,SymbolTable,getOffset/1[java.lang.String],symbols,1
E:\research\repos_analysis\workspace\compiler-eclipse\src\SymbolTable.java,SymbolTable,findIdentifierSymbol/1[java.lang.String],initOrNot,1
E:\research\repos_analysis\workspace\compiler-eclipse\src\SymbolTable.java,SymbolTable,findIdentifierSymbol/1[java.lang.String],varName,1
E:\research\repos_analysis\workspace\compiler-eclipse\src\SymbolTable.java,SymbolTable,findIdentifierSymbol/1[java.lang.String],offset,1
E:\research\repos_analysis\workspace\compiler-eclipse\src\SymbolTable.java,SymbolTable,findIdentifierSymbol/1[java.lang.String],dataType,1
E:\research\repos_analysis\workspace\compiler-eclipse\src\SymbolTable.java,SymbolTable,findIdentifierSymbol/1[java.lang.String],symbols,1
E:\research\repos_analysis\workspace\compiler-eclipse\src\SymbolTable.java,SymbolTable,findIdentifierSymbol/1[java.lang.String],memorySegment,1
E:\research\repos_analysis\workspace\compiler-eclipse\src\SymbolTable.java,SymbolTable,setInitToNot/1[java.lang.String],symbols,1
E:\research\repos_analysis\workspace\compiler-eclipse\src\Token.java,Token,print/0,Type,2
E:\research\repos_analysis\workspace\compiler-eclipse\src\Token.java,Token,print/0,Token,2
E:\research\repos_analysis\workspace\compiler-eclipse\src\Token.java,Token,print/0,LineNumber,1
E:\research\repos_analysis\workspace\compiler-eclipse\src\Token.java,Token,changeTokenContent/0,Type,1
E:\research\repos_analysis\workspace\compiler-eclipse\src\Token.java,Token,changeTokenContent/0,Token,1
E:\research\repos_analysis\workspace\compiler-eclipse\src\Token.java,Token,initSymbols/0,Symbols,27
E:\research\repos_analysis\workspace\compiler-eclipse\src\Token.java,Token,"setToken/3[java.lang.String,Token.TokenType,int]",Type,3
E:\research\repos_analysis\workspace\compiler-eclipse\src\Token.java,Token,"setToken/3[java.lang.String,Token.TokenType,int]",Token,3
E:\research\repos_analysis\workspace\compiler-eclipse\src\Token.java,Token,"setToken/3[java.lang.String,Token.TokenType,int]",LineNumber,3
E:\research\repos_analysis\workspace\compiler-eclipse\src\Token.java,Token,Token/0,Token,1
