file,class,method,variable,usage
E:\research\repos_analysis\workspace\compiler-eclipse\src\Compiler.java,Compiler,main/1[java.lang.String[]],args,2
E:\research\repos_analysis\workspace\compiler-eclipse\src\Compiler.java,Compiler,main/1[java.lang.String[]],parser,0
E:\research\repos_analysis\workspace\compiler-eclipse\src\Compiler.java,Compiler,main/1[java.lang.String[]],allFile,1
E:\research\repos_analysis\workspace\compiler-eclipse\src\Compiler.java,Compiler,main/1[java.lang.String[]],f,3
E:\research\repos_analysis\workspace\compiler-eclipse\src\Compiler.java,Compiler,main/1[java.lang.String[]],files,1
E:\research\repos_analysis\workspace\compiler-eclipse\src\Compiler.java,Compiler,main/1[java.lang.String[]],lexer,1
E:\research\repos_analysis\workspace\compiler-eclipse\src\Lexer.java,Lexer,PeekNextToken/0,OldIndex,1
E:\research\repos_analysis\workspace\compiler-eclipse\src\Lexer.java,Lexer,PeekNextToken/0,token,1
E:\research\repos_analysis\workspace\compiler-eclipse\src\Lexer.java,Lexer,Lexer/1[java.lang.String],fileName,1
E:\research\repos_analysis\workspace\compiler-eclipse\src\Lexer.java,Lexer,"Lexer/2[java.lang.String,java.lang.String]",folderPath,3
E:\research\repos_analysis\workspace\compiler-eclipse\src\Lexer.java,Lexer,"Lexer/2[java.lang.String,java.lang.String]",fileName,1
E:\research\repos_analysis\workspace\compiler-eclipse\src\Lexer.java,Lexer,initLocalFile/0,bufferedReader,1
E:\research\repos_analysis\workspace\compiler-eclipse\src\Lexer.java,Lexer,initLocalFile/0,read,2
E:\research\repos_analysis\workspace\compiler-eclipse\src\Lexer.java,Lexer,initLocalFile/0,e,1
E:\research\repos_analysis\workspace\compiler-eclipse\src\Lexer.java,Lexer,initLocalFile/0,lineText,2
E:\research\repos_analysis\workspace\compiler-eclipse\src\Lexer.java,Lexer,setReadIndex/1[int],value,1
E:\research\repos_analysis\workspace\compiler-eclipse\src\Lexer.java,Lexer,error/1[java.lang.String],errorInfor,1
E:\research\repos_analysis\workspace\compiler-eclipse\src\Lexer.java,Lexer,TokenOperation/1[java.lang.String],comment_s,1
E:\research\repos_analysis\workspace\compiler-eclipse\src\Lexer.java,Lexer,TokenOperation/1[java.lang.String],string_token,3
E:\research\repos_analysis\workspace\compiler-eclipse\src\Lexer.java,Lexer,TokenOperation/1[java.lang.String],pattern,1
E:\research\repos_analysis\workspace\compiler-eclipse\src\Lexer.java,Lexer,TokenOperation/1[java.lang.String],com_token,0
E:\research\repos_analysis\workspace\compiler-eclipse\src\Lexer.java,Lexer,TokenOperation/1[java.lang.String],i,3
E:\research\repos_analysis\workspace\compiler-eclipse\src\Lexer.java,Lexer,TokenOperation/1[java.lang.String],operationType,1
E:\research\repos_analysis\workspace\compiler-eclipse\src\Lexer.java,Lexer,TokenOperation/1[java.lang.String],TokenName,30
E:\research\repos_analysis\workspace\compiler-eclipse\src\Lexer.java,Lexer,TokenOperation/1[java.lang.String],comment,4
E:\research\repos_analysis\workspace\compiler-eclipse\src\Lexer.java,Lexer,TokenOperation/1[java.lang.String],keyword,1
E:\research\repos_analysis\workspace\compiler-eclipse\src\Lexer.java,Lexer,TokenOperation/1[java.lang.String],token,13
E:\research\repos_analysis\workspace\compiler-eclipse\src\JackClasses.java,JackClasses,methodMatch/1[java.lang.String],method,1
E:\research\repos_analysis\workspace\compiler-eclipse\src\JackClasses.java,JackClasses,methodMatch/1[java.lang.String],methodName,1
E:\research\repos_analysis\workspace\compiler-eclipse\src\SymbolTable.java,SymbolTable,"addIdentifierSymbolTable/5[java.lang.String,Symbol.SymbolType,java.lang.String,java.lang.String,java.lang.String]",symbol,7
E:\research\repos_analysis\workspace\compiler-eclipse\src\SymbolTable.java,SymbolTable,"addIdentifierSymbolTable/5[java.lang.String,Symbol.SymbolType,java.lang.String,java.lang.String,java.lang.String]",assignDataType,2
E:\research\repos_analysis\workspace\compiler-eclipse\src\SymbolTable.java,SymbolTable,"addIdentifierSymbolTable/5[java.lang.String,Symbol.SymbolType,java.lang.String,java.lang.String,java.lang.String]",kind,2
E:\research\repos_analysis\workspace\compiler-eclipse\src\SymbolTable.java,SymbolTable,"addIdentifierSymbolTable/5[java.lang.String,Symbol.SymbolType,java.lang.String,java.lang.String,java.lang.String]",beAssignDataType,1
E:\research\repos_analysis\workspace\compiler-eclipse\src\SymbolTable.java,SymbolTable,"addIdentifierSymbolTable/5[java.lang.String,Symbol.SymbolType,java.lang.String,java.lang.String,java.lang.String]",lexeme,2
E:\research\repos_analysis\workspace\compiler-eclipse\src\SymbolTable.java,SymbolTable,"addIdentifierSymbolTable/5[java.lang.String,Symbol.SymbolType,java.lang.String,java.lang.String,java.lang.String]",memorySegment,2
E:\research\repos_analysis\workspace\compiler-eclipse\src\SymbolTable.java,SymbolTable,setInitOrNot/1[java.lang.String],symbol,2
E:\research\repos_analysis\workspace\compiler-eclipse\src\SymbolTable.java,SymbolTable,setInitOrNot/1[java.lang.String],lexeme,2
E:\research\repos_analysis\workspace\compiler-eclipse\src\SymbolTable.java,SymbolTable,getIdentifierAssignDataType/1[java.lang.String],symbol,2
E:\research\repos_analysis\workspace\compiler-eclipse\src\SymbolTable.java,SymbolTable,getIdentifierAssignDataType/1[java.lang.String],dataType,2
E:\research\repos_analysis\workspace\compiler-eclipse\src\SymbolTable.java,SymbolTable,getIdentifierAssignDataType/1[java.lang.String],lexeme,2
E:\research\repos_analysis\workspace\compiler-eclipse\src\SymbolTable.java,SymbolTable,setCounter/1[int],counter,2
E:\research\repos_analysis\workspace\compiler-eclipse\src\SymbolTable.java,SymbolTable,getInitOrNot/1[java.lang.String],initOrNot,3
E:\research\repos_analysis\workspace\compiler-eclipse\src\SymbolTable.java,SymbolTable,getInitOrNot/1[java.lang.String],symbol,2
E:\research\repos_analysis\workspace\compiler-eclipse\src\SymbolTable.java,SymbolTable,getInitOrNot/1[java.lang.String],lexeme,2
E:\research\repos_analysis\workspace\compiler-eclipse\src\SymbolTable.java,SymbolTable,"addFunctionSymbolTable/5[java.lang.String,Symbol.SymbolType,java.util.ArrayList<java.lang.String>,java.lang.String,int]",symbol,6
E:\research\repos_analysis\workspace\compiler-eclipse\src\SymbolTable.java,SymbolTable,"addFunctionSymbolTable/5[java.lang.String,Symbol.SymbolType,java.util.ArrayList<java.lang.String>,java.lang.String,int]",argumentsDataType,2
E:\research\repos_analysis\workspace\compiler-eclipse\src\SymbolTable.java,SymbolTable,"addFunctionSymbolTable/5[java.lang.String,Symbol.SymbolType,java.util.ArrayList<java.lang.String>,java.lang.String,int]",kind,2
E:\research\repos_analysis\workspace\compiler-eclipse\src\SymbolTable.java,SymbolTable,"addFunctionSymbolTable/5[java.lang.String,Symbol.SymbolType,java.util.ArrayList<java.lang.String>,java.lang.String,int]",numOfVar,2
E:\research\repos_analysis\workspace\compiler-eclipse\src\SymbolTable.java,SymbolTable,"addFunctionSymbolTable/5[java.lang.String,Symbol.SymbolType,java.util.ArrayList<java.lang.String>,java.lang.String,int]",lexeme,2
E:\research\repos_analysis\workspace\compiler-eclipse\src\SymbolTable.java,SymbolTable,"addFunctionSymbolTable/5[java.lang.String,Symbol.SymbolType,java.util.ArrayList<java.lang.String>,java.lang.String,int]",returnType,2
E:\research\repos_analysis\workspace\compiler-eclipse\src\SymbolTable.java,SymbolTable,print/0,symbol,2
E:\research\repos_analysis\workspace\compiler-eclipse\src\SymbolTable.java,SymbolTable,getIdentifierBeAssignedDataType/1[java.lang.String],symbol,2
E:\research\repos_analysis\workspace\compiler-eclipse\src\SymbolTable.java,SymbolTable,getIdentifierBeAssignedDataType/1[java.lang.String],dataType,2
E:\research\repos_analysis\workspace\compiler-eclipse\src\SymbolTable.java,SymbolTable,getIdentifierBeAssignedDataType/1[java.lang.String],lexeme,2
E:\research\repos_analysis\workspace\compiler-eclipse\src\SymbolTable.java,SymbolTable,"checkSymbolType/2[java.lang.String,java.lang.String]",symbol,2
E:\research\repos_analysis\workspace\compiler-eclipse\src\SymbolTable.java,SymbolTable,"checkSymbolType/2[java.lang.String,java.lang.String]",lexeme,2
E:\research\repos_analysis\workspace\compiler-eclipse\src\SymbolTable.java,SymbolTable,"checkSymbolType/2[java.lang.String,java.lang.String]",type,1
E:\research\repos_analysis\workspace\compiler-eclipse\src\SymbolTable.java,SymbolTable,getArgument/1[java.lang.String],symbol,2
E:\research\repos_analysis\workspace\compiler-eclipse\src\SymbolTable.java,SymbolTable,getArgument/1[java.lang.String],argument,1
E:\research\repos_analysis\workspace\compiler-eclipse\src\SymbolTable.java,SymbolTable,getArgument/1[java.lang.String],arguments,2
E:\research\repos_analysis\workspace\compiler-eclipse\src\SymbolTable.java,SymbolTable,getArgument/1[java.lang.String],lexeme,2
E:\research\repos_analysis\workspace\compiler-eclipse\src\SymbolTable.java,SymbolTable,getFunctionReturnType/1[java.lang.String],symbol,2
E:\research\repos_analysis\workspace\compiler-eclipse\src\SymbolTable.java,SymbolTable,getFunctionReturnType/1[java.lang.String],lexeme,2
E:\research\repos_analysis\workspace\compiler-eclipse\src\SymbolTable.java,SymbolTable,getFunctionReturnType/1[java.lang.String],returnType,3
E:\research\repos_analysis\workspace\compiler-eclipse\src\SymbolTable.java,SymbolTable,findFunctionSymbol/1[java.lang.String],symbol,4
E:\research\repos_analysis\workspace\compiler-eclipse\src\SymbolTable.java,SymbolTable,findFunctionSymbol/1[java.lang.String],lexeme,2
E:\research\repos_analysis\workspace\compiler-eclipse\src\SymbolTable.java,SymbolTable,getOffset/1[java.lang.String],symbol,2
E:\research\repos_analysis\workspace\compiler-eclipse\src\SymbolTable.java,SymbolTable,getOffset/1[java.lang.String],offset,3
E:\research\repos_analysis\workspace\compiler-eclipse\src\SymbolTable.java,SymbolTable,getOffset/1[java.lang.String],lexeme,2
E:\research\repos_analysis\workspace\compiler-eclipse\src\SymbolTable.java,SymbolTable,addLocalFunctionName/1[java.lang.String],symbol,1
E:\research\repos_analysis\workspace\compiler-eclipse\src\SymbolTable.java,SymbolTable,addLocalFunctionName/1[java.lang.String],lexeme,2
E:\research\repos_analysis\workspace\compiler-eclipse\src\SymbolTable.java,SymbolTable,findIdentifierSymbol/1[java.lang.String],symbol,6
E:\research\repos_analysis\workspace\compiler-eclipse\src\SymbolTable.java,SymbolTable,findIdentifierSymbol/1[java.lang.String],lexeme,3
E:\research\repos_analysis\workspace\compiler-eclipse\src\SymbolTable.java,SymbolTable,setInitToNot/1[java.lang.String],symbol,2
E:\research\repos_analysis\workspace\compiler-eclipse\src\SymbolTable.java,SymbolTable,setInitToNot/1[java.lang.String],lexeme,2
E:\research\repos_analysis\workspace\compiler-eclipse\src\Token.java,Token,changeTokenContent/0,Type,2
E:\research\repos_analysis\workspace\compiler-eclipse\src\Token.java,Token,"setToken/3[java.lang.String,Token.TokenType,int]",Type,2
E:\research\repos_analysis\workspace\compiler-eclipse\src\Token.java,Token,"setToken/3[java.lang.String,Token.TokenType,int]",Token,2
E:\research\repos_analysis\workspace\compiler-eclipse\src\Token.java,Token,"setToken/3[java.lang.String,Token.TokenType,int]",LineNumber,2
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,classCheck/0,lastToken,3
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,classCheck/0,oldIndex,1
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,letStatementCheck/0,lastToken,14
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,letStatementCheck/0,varName,5
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,letStatementCheck/0,symbolTable,9
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,letStatementCheck/0,offset,5
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,letStatementCheck/0,dataType,8
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,letStatementCheck/0,pattern,4
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,letStatementCheck/0,arrayVarName,4
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,letStatementCheck/0,memorySegment,9
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,letStatementCheck/0,arrayOrNot,2
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,classVarDeclarCheck/0,pattern,2
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,classVarDeclarCheck/0,assignArgumentType,9
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,classVarDeclarCheck/0,beAssignedArgumentType,7
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,parserAnalysis/0,newToken,14
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,parserAnalysis/0,e,1
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,operand/0,lastToken,21
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,operand/0,variableOrNot,5
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,operand/0,offset,13
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,operand/0,staticVarOrNot,2
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,operand/0,index,12
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,operand/0,lastLexeme,31
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,operand/0,memorySegment,13
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,operand/0,currentArgumentType,3
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,operand/0,methodCallOrNot,3
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,operand/0,objectFunction,12
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,operand/0,arguments,10
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,operand/0,currentPushCounter,1
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,operand/0,methodCallLexeme,9
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,operand/0,currentString,3
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,ArithmeticExpression/0,arithmeticSymbol,3
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,doStatementCheck/0,e,1
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,symbolTableVarClear/0,symbolTable,8
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,returnStatementCheck/0,valueReturned,3
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,error/1[java.lang.String],errorInfor,1
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,functionVarDeclarCheck/0,pattern,1
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,functionVarDeclarCheck/0,assignArgumentType,9
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,functionVarDeclarCheck/0,beAssignedArgumentType,7
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,functionCheck/0,pattern,4
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,functionCheck/0,assignArgumentType,9
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,functionCheck/0,beAssignedArgumentType,7
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,functionCheck/0,fieldVarArray,1
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,term/0,arithmeticSymbol,1
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,ClassesFunctionsReference/0,library,1
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,ClassesFunctionsReference/0,classCheckLexer,14
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,ClassesFunctionsReference/0,jackLibrariesOrNot,2
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,Parser/1[Lexer],lexer,4
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,classStaticDeclarCheck/1[java.lang.String],e,1
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,classStaticDeclarCheck/1[java.lang.String],name,6
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,classStaticDeclarCheck/1[java.lang.String],pattern,2
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,classStaticDeclarCheck/1[java.lang.String],assignArgumentType,9
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,classStaticDeclarCheck/1[java.lang.String],beAssignedArgumentType,7
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,classStaticDeclarCheck/1[java.lang.String],temLexer,23
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,subroutineCallCheck/0,lastToken,13
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,subroutineCallCheck/0,currentArgumentType,1
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,subroutineCallCheck/0,tra,4
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,subroutineCallCheck/0,subroutineName,20
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,subroutineCallCheck/0,methodCallOrNot,5
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,subroutineCallCheck/0,objectFunction,12
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,subroutineCallCheck/0,arguments,11
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,subroutineCallCheck/0,currentPushCounter,1
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,subroutineCallCheck/0,methodCallLexeme,12
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,vmCodeInput/1[java.lang.String],bufferedWriter,2
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,vmCodeInput/1[java.lang.String],log,1
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,vmCodeInput/1[java.lang.String],e,1
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,vmCodeInput/1[java.lang.String],fileWriter,2
