file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
E:\research\repos_analysis\workspace\jvector-eclipse\src\io\github\jbellis\jvector\util\ArrayUtil.java,io.github.jbellis.jvector.util.ArrayUtil,class,9,15,6,9,73,1,0,15,325,0.96153843,0.0,0.0,26,25,24,2,0,0,24,0,0,0,1,1,1,0,0,0,1,0,34,223,42,1,9,0,10,28,69,31,38,28,2,0,0,0,162,17,0
E:\research\repos_analysis\workspace\jvector-eclipse\src\io\github\jbellis\jvector\graph\OnHeapGraphIndex.java,io.github.jbellis.jvector.graph.OnHeapGraphIndex$ConcurrentGraphIndexView,innerclass,7,7,0,7,9,1,0,8,28,0.0,0.0,0.0,8,0,8,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,1,25,6,0,1,0,0,3,1,0,1,0,0,0,0,0,34,2,0
E:\research\repos_analysis\workspace\jvector-eclipse\src\io\github\jbellis\jvector\vector\VectorSimilarityFunction.java,io.github.jbellis.jvector.vector.VectorSimilarityFunction$Anonymous3,anonymous,3,3,0,3,2,1,0,2,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,8,2,0,0,0,2,0,4,0,4,0,0,0,0,0,2,-1,0
E:\research\repos_analysis\workspace\jvector-eclipse\src\io\github\jbellis\jvector\graph\ListRandomAccessVectorValues.java,io.github.jbellis.jvector.graph.ListRandomAccessVectorValues,class,3,4,1,3,6,1,0,2,7,0.5833334,0.26666668,0.4,6,0,6,0,0,0,6,0,0,0,2,0,0,2,0,0,2,0,0,23,5,0,0,0,0,0,0,2,0,2,0,0,0,0,42,1,0
E:\research\repos_analysis\workspace\jvector-eclipse\src\io\github\jbellis\jvector\vector\VectorSimilarityFunction.java,io.github.jbellis.jvector.vector.VectorSimilarityFunction$Anonymous2,anonymous,3,3,0,3,2,1,0,2,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,8,2,0,0,0,1,0,2,0,2,0,0,0,0,0,2,-1,0
E:\research\repos_analysis\workspace\jvector-eclipse\src\io\github\jbellis\jvector\disk\OnDiskGraphIndex.java,io.github.jbellis.jvector.disk.OnDiskGraphIndex,class,13,16,3,13,26,1,0,36,15,0.73333335,0.33333334,0.62222224,10,3,10,0,0,0,10,0,0,0,6,0,0,6,0,0,6,0,7,156,6,4,2,4,0,5,12,21,7,21,3,0,1,0,122,1,0
E:\research\repos_analysis\workspace\jvector-eclipse\src\io\github\jbellis\jvector\disk\SimpleMappedReader.java,io.github.jbellis.jvector.disk.SimpleMappedReader,class,7,9,2,7,20,1,0,21,0,0.6666667,0.8,0.8,12,1,10,2,0,0,10,0,0,0,3,2,0,3,0,0,3,0,2,67,4,3,1,2,1,4,4,12,1,8,2,0,0,0,68,1,0
E:\research\repos_analysis\workspace\jvector-eclipse\src\io\github\jbellis\jvector\vector\VectorSimilarityFunction.java,io.github.jbellis.jvector.vector.VectorSimilarityFunction$Anonymous1,anonymous,3,3,0,3,2,1,0,2,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,8,2,0,0,0,2,0,4,0,4,0,0,0,0,0,3,-1,0
E:\research\repos_analysis\workspace\jvector-eclipse\src\io\github\jbellis\jvector\graph\GraphIndexBuilder.java,io.github.jbellis.jvector.graph.GraphIndexBuilder$Anonymous1,anonymous,0,0,0,0,3,1,0,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,1,0,0,0,0,0,0,0,0,0,0,0,7,-1,0
E:\research\repos_analysis\workspace\jvector-eclipse\src\io\github\jbellis\jvector\pq\PQDecoder.java,io.github.jbellis.jvector.pq.PQDecoder$CachingDecoder,innerclass,7,7,0,7,7,2,0,7,0,0.0,1.0,1.0,2,0,0,0,2,0,2,0,0,0,1,0,0,0,1,0,1,0,4,30,1,2,1,0,0,1,5,11,4,9,3,0,0,0,33,1036,0
