file,class,method,variable,usage
E:\research\repos_analysis\workspace\jvector-eclipse\src\io\github\jbellis\jvector\util\ArrayUtil.java,io.github.jbellis.jvector.util.ArrayUtil,"oversize/2[int,int]",MAX_ARRAY_LENGTH,4
E:\research\repos_analysis\workspace\jvector-eclipse\src\io\github\jbellis\jvector\graph\ListRandomAccessVectorValues.java,io.github.jbellis.jvector.graph.ListRandomAccessVectorValues,"ListRandomAccessVectorValues/2[java.util.List<float[]>,int]",vectors,4
E:\research\repos_analysis\workspace\jvector-eclipse\src\io\github\jbellis\jvector\graph\ListRandomAccessVectorValues.java,io.github.jbellis.jvector.graph.ListRandomAccessVectorValues,"ListRandomAccessVectorValues/2[java.util.List<float[]>,int]",dimension,4
E:\research\repos_analysis\workspace\jvector-eclipse\src\io\github\jbellis\jvector\graph\ListRandomAccessVectorValues.java,io.github.jbellis.jvector.graph.ListRandomAccessVectorValues,size/0,vectors,1
E:\research\repos_analysis\workspace\jvector-eclipse\src\io\github\jbellis\jvector\graph\ListRandomAccessVectorValues.java,io.github.jbellis.jvector.graph.ListRandomAccessVectorValues,vectorValue/1[int],vectors,1
E:\research\repos_analysis\workspace\jvector-eclipse\src\io\github\jbellis\jvector\graph\ListRandomAccessVectorValues.java,io.github.jbellis.jvector.graph.ListRandomAccessVectorValues,dimension/0,dimension,2
E:\research\repos_analysis\workspace\jvector-eclipse\src\io\github\jbellis\jvector\disk\OnDiskGraphIndex.java,io.github.jbellis.jvector.disk.OnDiskGraphIndex,size/0,size,2
E:\research\repos_analysis\workspace\jvector-eclipse\src\io\github\jbellis\jvector\disk\OnDiskGraphIndex.java,io.github.jbellis.jvector.disk.OnDiskGraphIndex,close/0,readerSupplier,1
E:\research\repos_analysis\workspace\jvector-eclipse\src\io\github\jbellis\jvector\disk\OnDiskGraphIndex.java,io.github.jbellis.jvector.disk.OnDiskGraphIndex,maxDegree/0,maxDegree,2
E:\research\repos_analysis\workspace\jvector-eclipse\src\io\github\jbellis\jvector\disk\OnDiskGraphIndex.java,io.github.jbellis.jvector.disk.OnDiskGraphIndex,"write/4[io.github.jbellis.jvector.graph.GraphIndex<T>,io.github.jbellis.jvector.graph.RandomAccessVectorValues<T>,java.util.Map<java.lang.Integer,java.lang.Integer>,java.io.DataOutput]",size,11
E:\research\repos_analysis\workspace\jvector-eclipse\src\io\github\jbellis\jvector\disk\OnDiskGraphIndex.java,io.github.jbellis.jvector.disk.OnDiskGraphIndex,"write/4[io.github.jbellis.jvector.graph.GraphIndex<T>,io.github.jbellis.jvector.graph.RandomAccessVectorValues<T>,java.util.Map<java.lang.Integer,java.lang.Integer>,java.io.DataOutput]",maxDegree,2
