file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
E:\research\repos_analysis\workspace\jvector-eclipse\src\io\github\jbellis\jvector\util\ArrayUtil.java,io.github.jbellis.jvector.util.ArrayUtil,"grow/2[short[],int]",false,243,2,2,0,2,3,2,7,2,0,2,2,2,1,0,0,0,0,2,1,0,1,1,0,0,0,23,9,0,true
E:\research\repos_analysis\workspace\jvector-eclipse\src\io\github\jbellis\jvector\util\ArrayUtil.java,io.github.jbellis.jvector.util.ArrayUtil,"copyOfSubArray/3[T[],int,int]",false,423,1,0,0,0,2,4,7,1,3,3,4,0,0,0,1,0,1,1,1,3,1,0,0,0,0,25,9,0,true
E:\research\repos_analysis\workspace\jvector-eclipse\src\io\github\jbellis\jvector\util\ArrayUtil.java,io.github.jbellis.jvector.util.ArrayUtil,"parse/5[char[],int,int,int,boolean]",false,76,1,1,1,0,7,1,25,1,5,5,1,0,0,1,1,0,0,4,4,7,4,2,0,0,0,13,10,0,false
E:\research\repos_analysis\workspace\jvector-eclipse\src\io\github\jbellis\jvector\util\ArrayUtil.java,io.github.jbellis.jvector.util.ArrayUtil,"oversize/2[int,int]",false,122,0,9,9,0,16,0,45,10,2,2,0,0,0,0,1,0,8,4,31,3,14,2,0,0,0,86,9,0,true
E:\research\repos_analysis\workspace\jvector-eclipse\src\io\github\jbellis\jvector\util\ArrayUtil.java,io.github.jbellis.jvector.util.ArrayUtil,ArrayUtil/0,true,36,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,false
E:\research\repos_analysis\workspace\jvector-eclipse\src\io\github\jbellis\jvector\util\ArrayUtil.java,io.github.jbellis.jvector.util.ArrayUtil,"grow/2[long[],int]",false,330,2,4,2,2,3,2,7,2,0,2,2,2,1,0,0,0,0,2,1,0,1,1,0,0,0,23,9,0,true
E:\research\repos_analysis\workspace\jvector-eclipse\src\io\github\jbellis\jvector\util\ArrayUtil.java,io.github.jbellis.jvector.util.ArrayUtil,"grow/2[float[],int]",false,263,2,1,0,1,3,2,9,2,1,2,2,1,1,0,0,0,0,2,3,1,1,1,0,0,0,23,9,0,true
E:\research\repos_analysis\workspace\jvector-eclipse\src\io\github\jbellis\jvector\util\ArrayUtil.java,io.github.jbellis.jvector.util.ArrayUtil,"growExact/2[short[],int]",false,233,1,1,1,0,1,1,5,1,1,2,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,17,9,0,true
E:\research\repos_analysis\workspace\jvector-eclipse\src\io\github\jbellis\jvector\util\ArrayUtil.java,io.github.jbellis.jvector.util.ArrayUtil,"growExact/2[byte[],int]",false,340,1,1,1,0,1,1,5,1,1,2,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,17,9,0,true
E:\research\repos_analysis\workspace\jvector-eclipse\src\io\github\jbellis\jvector\util\ArrayUtil.java,io.github.jbellis.jvector.util.ArrayUtil,"grow/2[char[],int]",false,370,2,2,0,2,3,2,7,2,0,2,2,2,1,0,0,0,0,2,1,0,1,1,0,0,0,23,9,0,true
E:\research\repos_analysis\workspace\jvector-eclipse\src\io\github\jbellis\jvector\util\ArrayUtil.java,io.github.jbellis.jvector.util.ArrayUtil,"grow/2[T[],int]",false,222,2,2,0,2,3,2,8,2,1,2,2,2,1,0,0,0,0,2,1,1,1,1,0,0,0,26,9,0,true
E:\research\repos_analysis\workspace\jvector-eclipse\src\io\github\jbellis\jvector\util\ArrayUtil.java,io.github.jbellis.jvector.util.ArrayUtil,"copyOfSubArray/3[byte[],int,int]",false,384,1,0,0,0,1,1,5,1,1,3,1,0,0,0,0,0,0,0,1,1,2,0,0,0,0,23,9,0,true
E:\research\repos_analysis\workspace\jvector-eclipse\src\io\github\jbellis\jvector\util\ArrayUtil.java,io.github.jbellis.jvector.util.ArrayUtil,"grow/2[double[],int]",false,285,2,2,0,2,3,2,7,2,0,2,2,2,1,0,0,0,0,2,1,0,1,1,0,0,0,23,9,0,true
E:\research\repos_analysis\workspace\jvector-eclipse\src\io\github\jbellis\jvector\util\ArrayUtil.java,io.github.jbellis.jvector.util.ArrayUtil,"grow/2[int[],int]",false,305,2,3,1,2,3,2,7,2,0,2,2,2,1,0,0,0,0,2,1,0,1,1,0,0,0,23,9,0,true
E:\research\repos_analysis\workspace\jvector-eclipse\src\io\github\jbellis\jvector\util\ArrayUtil.java,io.github.jbellis.jvector.util.ArrayUtil,"copyOfSubArray/3[float[],int,int]",false,410,1,1,1,0,1,1,5,1,1,3,1,0,0,0,0,0,0,0,1,1,2,0,0,0,0,23,9,0,true
E:\research\repos_analysis\workspace\jvector-eclipse\src\io\github\jbellis\jvector\util\ArrayUtil.java,io.github.jbellis.jvector.util.ArrayUtil,"growExact/2[float[],int]",false,253,1,2,2,0,1,1,5,1,1,2,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,17,9,0,true
E:\research\repos_analysis\workspace\jvector-eclipse\src\io\github\jbellis\jvector\util\ArrayUtil.java,io.github.jbellis.jvector.util.ArrayUtil,"growExact/2[long[],int]",false,320,1,1,1,0,1,1,5,1,1,2,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,17,9,0,true
E:\research\repos_analysis\workspace\jvector-eclipse\src\io\github\jbellis\jvector\util\ArrayUtil.java,io.github.jbellis.jvector.util.ArrayUtil,"parseInt/4[char[],int,int,int]",false,56,2,1,0,1,9,1,18,1,2,4,1,1,1,0,5,0,0,2,2,2,1,1,0,0,0,47,9,0,true
E:\research\repos_analysis\workspace\jvector-eclipse\src\io\github\jbellis\jvector\util\ArrayUtil.java,io.github.jbellis.jvector.util.ArrayUtil,"growExact/2[double[],int]",false,275,1,1,1,0,1,1,5,1,1,2,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,17,9,0,true
E:\research\repos_analysis\workspace\jvector-eclipse\src\io\github\jbellis\jvector\util\ArrayUtil.java,io.github.jbellis.jvector.util.ArrayUtil,"copyOfSubArray/3[int[],int,int]",false,397,1,0,0,0,1,1,5,1,1,3,1,0,0,0,0,0,0,0,1,1,2,0,0,0,0,23,9,0,true
E:\research\repos_analysis\workspace\jvector-eclipse\src\io\github\jbellis\jvector\util\ArrayUtil.java,io.github.jbellis.jvector.util.ArrayUtil,"growExact/2[int[],int]",false,295,1,1,1,0,1,1,5,1,1,2,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,17,9,0,true
E:\research\repos_analysis\workspace\jvector-eclipse\src\io\github\jbellis\jvector\util\ArrayUtil.java,io.github.jbellis.jvector.util.ArrayUtil,"grow/2[byte[],int]",false,350,2,2,0,2,3,2,7,2,0,2,2,2,1,0,0,0,0,2,1,0,1,1,0,0,0,23,9,0,true
E:\research\repos_analysis\workspace\jvector-eclipse\src\io\github\jbellis\jvector\util\ArrayUtil.java,io.github.jbellis.jvector.util.ArrayUtil,"growExact/2[T[],int]",false,207,1,1,1,0,2,4,6,1,2,2,4,0,0,0,1,0,1,1,2,2,0,0,0,0,0,18,9,0,true
E:\research\repos_analysis\workspace\jvector-eclipse\src\io\github\jbellis\jvector\util\ArrayUtil.java,io.github.jbellis.jvector.util.ArrayUtil,grow/1[int[]],false,313,2,3,2,1,1,1,3,1,0,1,1,1,2,0,0,0,0,0,1,0,1,0,0,0,0,9,9,0,true
E:\research\repos_analysis\workspace\jvector-eclipse\src\io\github\jbellis\jvector\util\ArrayUtil.java,io.github.jbellis.jvector.util.ArrayUtil,"copyOfSubArray/3[long[],int,int]",false,442,1,1,1,0,1,1,5,1,1,3,1,0,0,0,0,0,0,0,1,1,2,0,0,0,0,23,9,0,true
E:\research\repos_analysis\workspace\jvector-eclipse\src\io\github\jbellis\jvector\util\ArrayUtil.java,io.github.jbellis.jvector.util.ArrayUtil,"growExact/2[char[],int]",false,360,1,1,1,0,1,1,5,1,1,2,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,17,9,0,true
E:\research\repos_analysis\workspace\jvector-eclipse\src\io\github\jbellis\jvector\graph\OnHeapGraphIndex.java,io.github.jbellis.jvector.graph.OnHeapGraphIndex$ConcurrentGraphIndexView,getNeighborsIterator/1[int],false,257,3,2,0,2,1,2,3,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
E:\research\repos_analysis\workspace\jvector-eclipse\src\io\github\jbellis\jvector\graph\OnHeapGraphIndex.java,io.github.jbellis.jvector.graph.OnHeapGraphIndex$ConcurrentGraphIndexView,liveNodes/0,false,277,2,2,0,2,2,2,3,1,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,4,1,0,false
E:\research\repos_analysis\workspace\jvector-eclipse\src\io\github\jbellis\jvector\graph\OnHeapGraphIndex.java,io.github.jbellis.jvector.graph.OnHeapGraphIndex$ConcurrentGraphIndexView,getVector/1[int],false,253,1,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,16,1,0,false
E:\research\repos_analysis\workspace\jvector-eclipse\src\io\github\jbellis\jvector\graph\OnHeapGraphIndex.java,io.github.jbellis.jvector.graph.OnHeapGraphIndex$ConcurrentGraphIndexView,toString/0,false,272,1,1,0,1,1,2,3,1,0,0,2,0,0,0,0,0,0,2,0,0,1,0,0,0,0,5,1,0,false
E:\research\repos_analysis\workspace\jvector-eclipse\src\io\github\jbellis\jvector\graph\OnHeapGraphIndex.java,io.github.jbellis.jvector.graph.OnHeapGraphIndex$ConcurrentGraphIndexView,size/0,false,262,1,1,0,1,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,false
E:\research\repos_analysis\workspace\jvector-eclipse\src\io\github\jbellis\jvector\graph\OnHeapGraphIndex.java,io.github.jbellis.jvector.graph.OnHeapGraphIndex$ConcurrentGraphIndexView,close/0,false,289,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,false
E:\research\repos_analysis\workspace\jvector-eclipse\src\io\github\jbellis\jvector\graph\OnHeapGraphIndex.java,io.github.jbellis.jvector.graph.OnHeapGraphIndex$ConcurrentGraphIndexView,getIdUpperBound/0,false,284,1,1,0,1,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
E:\research\repos_analysis\workspace\jvector-eclipse\src\io\github\jbellis\jvector\graph\OnHeapGraphIndex.java,io.github.jbellis.jvector.graph.OnHeapGraphIndex$ConcurrentGraphIndexView,entryNode/0,false,267,0,0,0,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
E:\research\repos_analysis\workspace\jvector-eclipse\src\io\github\jbellis\jvector\vector\VectorSimilarityFunction.java,io.github.jbellis.jvector.vector.VectorSimilarityFunction$Anonymous3,"compare/2[byte[],byte[]]",false,79,2,3,0,3,1,1,3,1,0,2,1,0,0,0,0,0,1,0,2,0,2,0,0,0,0,2,1,0,false
E:\research\repos_analysis\workspace\jvector-eclipse\src\io\github\jbellis\jvector\vector\VectorSimilarityFunction.java,io.github.jbellis.jvector.vector.VectorSimilarityFunction$Anonymous3,"compare/2[float[],float[]]",false,74,2,3,0,3,1,1,3,1,0,2,1,0,0,0,0,0,1,0,2,0,2,0,0,0,0,2,1,0,false
E:\research\repos_analysis\workspace\jvector-eclipse\src\io\github\jbellis\jvector\graph\ListRandomAccessVectorValues.java,io.github.jbellis.jvector.graph.ListRandomAccessVectorValues,"ListRandomAccessVectorValues/2[java.util.List<float[]>,int]",true,40,1,0,0,0,1,0,4,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,15,1,0,true
E:\research\repos_analysis\workspace\jvector-eclipse\src\io\github\jbellis\jvector\graph\ListRandomAccessVectorValues.java,io.github.jbellis.jvector.graph.ListRandomAccessVectorValues,size/0,false,46,0,0,0,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,false
E:\research\repos_analysis\workspace\jvector-eclipse\src\io\github\jbellis\jvector\graph\ListRandomAccessVectorValues.java,io.github.jbellis.jvector.graph.ListRandomAccessVectorValues,vectorValue/1[int],false,56,1,0,0,0,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
E:\research\repos_analysis\workspace\jvector-eclipse\src\io\github\jbellis\jvector\graph\ListRandomAccessVectorValues.java,io.github.jbellis.jvector.graph.ListRandomAccessVectorValues,isValueShared/0,false,61,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
E:\research\repos_analysis\workspace\jvector-eclipse\src\io\github\jbellis\jvector\graph\ListRandomAccessVectorValues.java,io.github.jbellis.jvector.graph.ListRandomAccessVectorValues,copy/0,false,66,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
E:\research\repos_analysis\workspace\jvector-eclipse\src\io\github\jbellis\jvector\graph\ListRandomAccessVectorValues.java,io.github.jbellis.jvector.graph.ListRandomAccessVectorValues,dimension/0,false,51,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,false
E:\research\repos_analysis\workspace\jvector-eclipse\src\io\github\jbellis\jvector\vector\VectorSimilarityFunction.java,io.github.jbellis.jvector.vector.VectorSimilarityFunction$Anonymous2,"compare/2[byte[],byte[]]",false,61,2,3,0,3,1,1,3,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
E:\research\repos_analysis\workspace\jvector-eclipse\src\io\github\jbellis\jvector\vector\VectorSimilarityFunction.java,io.github.jbellis.jvector.vector.VectorSimilarityFunction$Anonymous2,"compare/2[float[],float[]]",false,56,2,3,0,3,1,1,3,1,0,2,1,0,0,0,0,0,1,0,2,0,2,0,0,0,0,2,1,0,false
E:\research\repos_analysis\workspace\jvector-eclipse\src\io\github\jbellis\jvector\disk\OnDiskGraphIndex.java,io.github.jbellis.jvector.disk.OnDiskGraphIndex,size/0,false,80,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,false
