file,class,method,variable,usage
E:\research\repos_analysis\workspace\jvector-eclipse\src\io\github\jbellis\jvector\util\ArrayUtil.java,io.github.jbellis.jvector.util.ArrayUtil,"grow/2[short[],int]",array,3
E:\research\repos_analysis\workspace\jvector-eclipse\src\io\github\jbellis\jvector\util\ArrayUtil.java,io.github.jbellis.jvector.util.ArrayUtil,"grow/2[short[],int]",minSize,4
E:\research\repos_analysis\workspace\jvector-eclipse\src\io\github\jbellis\jvector\util\ArrayUtil.java,io.github.jbellis.jvector.util.ArrayUtil,"copyOfSubArray/3[T[],int,int]",array,2
E:\research\repos_analysis\workspace\jvector-eclipse\src\io\github\jbellis\jvector\util\ArrayUtil.java,io.github.jbellis.jvector.util.ArrayUtil,"copyOfSubArray/3[T[],int,int]",from,2
E:\research\repos_analysis\workspace\jvector-eclipse\src\io\github\jbellis\jvector\util\ArrayUtil.java,io.github.jbellis.jvector.util.ArrayUtil,"copyOfSubArray/3[T[],int,int]",to,1
E:\research\repos_analysis\workspace\jvector-eclipse\src\io\github\jbellis\jvector\util\ArrayUtil.java,io.github.jbellis.jvector.util.ArrayUtil,"copyOfSubArray/3[T[],int,int]",subLength,3
E:\research\repos_analysis\workspace\jvector-eclipse\src\io\github\jbellis\jvector\util\ArrayUtil.java,io.github.jbellis.jvector.util.ArrayUtil,"copyOfSubArray/3[T[],int,int]",copy,2
E:\research\repos_analysis\workspace\jvector-eclipse\src\io\github\jbellis\jvector\util\ArrayUtil.java,io.github.jbellis.jvector.util.ArrayUtil,"copyOfSubArray/3[T[],int,int]",type,2
E:\research\repos_analysis\workspace\jvector-eclipse\src\io\github\jbellis\jvector\util\ArrayUtil.java,io.github.jbellis.jvector.util.ArrayUtil,"parse/5[char[],int,int,int,boolean]",radix,3
E:\research\repos_analysis\workspace\jvector-eclipse\src\io\github\jbellis\jvector\util\ArrayUtil.java,io.github.jbellis.jvector.util.ArrayUtil,"parse/5[char[],int,int,int,boolean]",result,8
E:\research\repos_analysis\workspace\jvector-eclipse\src\io\github\jbellis\jvector\util\ArrayUtil.java,io.github.jbellis.jvector.util.ArrayUtil,"parse/5[char[],int,int,int,boolean]",next,2
E:\research\repos_analysis\workspace\jvector-eclipse\src\io\github\jbellis\jvector\util\ArrayUtil.java,io.github.jbellis.jvector.util.ArrayUtil,"parse/5[char[],int,int,int,boolean]",negative,1
E:\research\repos_analysis\workspace\jvector-eclipse\src\io\github\jbellis\jvector\util\ArrayUtil.java,io.github.jbellis.jvector.util.ArrayUtil,"parse/5[char[],int,int,int,boolean]",offset,1
E:\research\repos_analysis\workspace\jvector-eclipse\src\io\github\jbellis\jvector\util\ArrayUtil.java,io.github.jbellis.jvector.util.ArrayUtil,"parse/5[char[],int,int,int,boolean]",len,1
E:\research\repos_analysis\workspace\jvector-eclipse\src\io\github\jbellis\jvector\util\ArrayUtil.java,io.github.jbellis.jvector.util.ArrayUtil,"parse/5[char[],int,int,int,boolean]",max,1
E:\research\repos_analysis\workspace\jvector-eclipse\src\io\github\jbellis\jvector\util\ArrayUtil.java,io.github.jbellis.jvector.util.ArrayUtil,"parse/5[char[],int,int,int,boolean]",i,3
E:\research\repos_analysis\workspace\jvector-eclipse\src\io\github\jbellis\jvector\util\ArrayUtil.java,io.github.jbellis.jvector.util.ArrayUtil,"parse/5[char[],int,int,int,boolean]",chars,1
E:\research\repos_analysis\workspace\jvector-eclipse\src\io\github\jbellis\jvector\util\ArrayUtil.java,io.github.jbellis.jvector.util.ArrayUtil,"parse/5[char[],int,int,int,boolean]",digit,3
E:\research\repos_analysis\workspace\jvector-eclipse\src\io\github\jbellis\jvector\util\ArrayUtil.java,io.github.jbellis.jvector.util.ArrayUtil,"oversize/2[int,int]",bytesPerElement,2
E:\research\repos_analysis\workspace\jvector-eclipse\src\io\github\jbellis\jvector\util\ArrayUtil.java,io.github.jbellis.jvector.util.ArrayUtil,"oversize/2[int,int]",extra,3
E:\research\repos_analysis\workspace\jvector-eclipse\src\io\github\jbellis\jvector\util\ArrayUtil.java,io.github.jbellis.jvector.util.ArrayUtil,"oversize/2[int,int]",minTargetSize,7
E:\research\repos_analysis\workspace\jvector-eclipse\src\io\github\jbellis\jvector\util\ArrayUtil.java,io.github.jbellis.jvector.util.ArrayUtil,"oversize/2[int,int]",newSize,10
E:\research\repos_analysis\workspace\jvector-eclipse\src\io\github\jbellis\jvector\util\ArrayUtil.java,io.github.jbellis.jvector.util.ArrayUtil,"grow/2[long[],int]",array,3
E:\research\repos_analysis\workspace\jvector-eclipse\src\io\github\jbellis\jvector\util\ArrayUtil.java,io.github.jbellis.jvector.util.ArrayUtil,"grow/2[long[],int]",minSize,4
E:\research\repos_analysis\workspace\jvector-eclipse\src\io\github\jbellis\jvector\util\ArrayUtil.java,io.github.jbellis.jvector.util.ArrayUtil,"grow/2[float[],int]",array,4
E:\research\repos_analysis\workspace\jvector-eclipse\src\io\github\jbellis\jvector\util\ArrayUtil.java,io.github.jbellis.jvector.util.ArrayUtil,"grow/2[float[],int]",minSize,4
E:\research\repos_analysis\workspace\jvector-eclipse\src\io\github\jbellis\jvector\util\ArrayUtil.java,io.github.jbellis.jvector.util.ArrayUtil,"grow/2[float[],int]",copy,2
E:\research\repos_analysis\workspace\jvector-eclipse\src\io\github\jbellis\jvector\util\ArrayUtil.java,io.github.jbellis.jvector.util.ArrayUtil,"growExact/2[short[],int]",newLength,1
E:\research\repos_analysis\workspace\jvector-eclipse\src\io\github\jbellis\jvector\util\ArrayUtil.java,io.github.jbellis.jvector.util.ArrayUtil,"growExact/2[short[],int]",array,2
E:\research\repos_analysis\workspace\jvector-eclipse\src\io\github\jbellis\jvector\util\ArrayUtil.java,io.github.jbellis.jvector.util.ArrayUtil,"growExact/2[short[],int]",copy,2
E:\research\repos_analysis\workspace\jvector-eclipse\src\io\github\jbellis\jvector\util\ArrayUtil.java,io.github.jbellis.jvector.util.ArrayUtil,"growExact/2[byte[],int]",newLength,1
E:\research\repos_analysis\workspace\jvector-eclipse\src\io\github\jbellis\jvector\util\ArrayUtil.java,io.github.jbellis.jvector.util.ArrayUtil,"growExact/2[byte[],int]",array,2
E:\research\repos_analysis\workspace\jvector-eclipse\src\io\github\jbellis\jvector\util\ArrayUtil.java,io.github.jbellis.jvector.util.ArrayUtil,"growExact/2[byte[],int]",copy,2
E:\research\repos_analysis\workspace\jvector-eclipse\src\io\github\jbellis\jvector\util\ArrayUtil.java,io.github.jbellis.jvector.util.ArrayUtil,"grow/2[char[],int]",array,3
E:\research\repos_analysis\workspace\jvector-eclipse\src\io\github\jbellis\jvector\util\ArrayUtil.java,io.github.jbellis.jvector.util.ArrayUtil,"grow/2[char[],int]",minSize,4
E:\research\repos_analysis\workspace\jvector-eclipse\src\io\github\jbellis\jvector\util\ArrayUtil.java,io.github.jbellis.jvector.util.ArrayUtil,"grow/2[T[],int]",newLength,1
E:\research\repos_analysis\workspace\jvector-eclipse\src\io\github\jbellis\jvector\util\ArrayUtil.java,io.github.jbellis.jvector.util.ArrayUtil,"grow/2[T[],int]",array,3
