file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
E:\research\repos_analysis\workspace\log4j-detector-eclipse\src\com\mergebase\log4j\CRC64.java,com.mergebase.log4j.CRC64,class,3,5,2,3,10,1,0,3,1,0.6666667,0.0,0.0,2,2,0,0,0,2,3,0,0,0,3,3,0,3,0,0,3,0,2,33,2,3,3,0,4,1,12,13,2,8,3,0,0,0,28,1,0
E:\research\repos_analysis\workspace\log4j-detector-eclipse\src\com\mergebase\log4j\Throwables.java,com.mergebase.log4j.Throwables,class,0,1,1,0,3,1,0,0,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9,1,0
E:\research\repos_analysis\workspace\log4j-detector-eclipse\src\com\mergebase\log4j\Log4JDetector.java,com.mergebase.log4j.Log4JDetector,class,10,13,3,10,197,1,0,79,71,0.8890978,NaN,NaN,14,14,1,13,0,0,1,0,0,0,38,38,0,38,0,0,29,0,71,890,23,7,24,11,3,156,78,237,40,140,14,3,0,0,277,1,0
E:\research\repos_analysis\workspace\log4j-detector-eclipse\src\com\mergebase\log4j\Util.java,com.mergebase.log4j.Util,class,3,5,2,3,21,4,0,16,3,0.6666667,0.0,0.0,3,3,2,1,0,0,2,0,0,0,2,2,0,2,0,0,2,0,3,73,1,1,4,1,10,2,4,4,2,4,3,0,1,0,48,1,0
E:\research\repos_analysis\workspace\log4j-detector-eclipse\src\com\mergebase\log4j\Java2Json.java,com.mergebase.log4j.Java2Json,class,3,5,2,3,208,1,0,54,158,0.84615386,0.14285715,0.14285715,25,24,7,18,0,0,7,0,0,0,13,11,1,12,0,0,11,0,58,655,50,14,53,5,7,75,54,123,34,90,6,0,0,0,194,1,0
E:\research\repos_analysis\workspace\log4j-detector-eclipse\src\com\mergebase\log4j\Strings.java,com.mergebase.log4j.Strings$Anonymous1,anonymous,0,0,0,0,5,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,18,4,0,4,0,0,0,4,2,0,1,1,0,0,0,5,-1,0
E:\research\repos_analysis\workspace\log4j-detector-eclipse\src\com\mergebase\log4j\Zipper.java,com.mergebase.log4j.Zipper,interface,0,1,1,0,2,1,0,0,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1,0
E:\research\repos_analysis\workspace\log4j-detector-eclipse\src\com\mergebase\log4j\VersionComparator.java,com.mergebase.log4j.VersionComparator$Anonymous1,anonymous,1,1,0,1,1,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,7,1,0,0,0,0,0,0,2,0,2,0,0,0,0,5,-1,0
E:\research\repos_analysis\workspace\log4j-detector-eclipse\src\com\mergebase\log4j\Log4JDetector.java,com.mergebase.log4j.Log4JDetector$Anonymous3,anonymous,2,2,0,2,7,1,0,6,0,0.0,1.0,1.0,2,0,2,0,0,0,2,0,0,0,3,0,0,3,0,0,0,0,4,42,3,1,0,1,0,2,3,9,1,6,4,0,0,0,29,-1,0
E:\research\repos_analysis\workspace\log4j-detector-eclipse\src\com\mergebase\log4j\VersionComparator.java,com.mergebase.log4j.VersionComparator$Anonymous2,anonymous,2,2,0,2,32,1,0,23,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,31,113,2,4,15,1,2,9,25,45,12,29,8,0,0,0,62,-1,0
E:\research\repos_analysis\workspace\log4j-detector-eclipse\src\com\mergebase\log4j\VersionComparator.java,com.mergebase.log4j.VersionComparator$Anonymous3,anonymous,1,1,0,1,7,1,0,5,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,20,4,0,5,0,1,0,4,4,0,3,1,0,0,0,8,-1,0
E:\research\repos_analysis\workspace\log4j-detector-eclipse\src\com\mergebase\log4j\VersionComparator.java,com.mergebase.log4j.VersionComparator$SerializableComparator,interface,1,1,0,1,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
E:\research\repos_analysis\workspace\log4j-detector-eclipse\src\com\mergebase\log4j\VersionComparator.java,com.mergebase.log4j.VersionComparator$Anonymous4,anonymous,0,0,0,0,3,1,0,5,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,12,1,0,2,0,0,0,2,3,0,1,2,0,0,0,3,-1,0
E:\research\repos_analysis\workspace\log4j-detector-eclipse\src\com\mergebase\log4j\VersionComparator.java,com.mergebase.log4j.VersionComparator,class,5,9,4,5,181,1,0,45,247,0.93478256,0.0,0.0,23,23,7,15,0,1,9,0,0,0,6,6,3,2,0,1,5,0,56,707,89,10,44,2,3,73,146,172,22,89,4,4,1,0,217,1,0
E:\research\repos_analysis\workspace\log4j-detector-eclipse\src\com\mergebase\log4j\Log4JDetector.java,com.mergebase.log4j.Log4JDetector$Anonymous2,anonymous,1,1,0,1,5,1,0,2,1,0.5,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,1,19,1,1,0,0,0,3,3,5,2,4,2,0,0,0,30,-1,0
E:\research\repos_analysis\workspace\log4j-detector-eclipse\src\com\mergebase\log4j\Log4JDetector.java,com.mergebase.log4j.Log4JDetector$Anonymous1,anonymous,0,0,0,0,6,1,0,4,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0,5,0,0,2,2,5,0,3,2,0,0,0,8,-1,0
E:\research\repos_analysis\workspace\log4j-detector-eclipse\src\com\mergebase\log4j\Bytes.java,com.mergebase.log4j.Bytes,class,3,5,2,3,38,1,0,19,53,0.87878793,0.018181818,0.018181818,11,11,10,1,0,0,11,0,0,0,3,3,3,0,0,0,3,0,13,151,13,6,14,4,0,7,36,37,13,24,3,0,0,0,81,1,0
E:\research\repos_analysis\workspace\log4j-detector-eclipse\src\com\mergebase\log4j\Strings.java,com.mergebase.log4j.Strings,class,1,6,5,1,73,1,0,27,231,0.9818182,0.0,0.0,22,22,22,0,0,0,22,0,0,0,5,5,5,0,0,0,5,0,12,232,36,10,22,2,6,46,21,45,4,29,5,1,0,0,134,1,0
E:\research\repos_analysis\workspace\log4j-detector-eclipse\src\com\mergebase\log4j\Util.java,com.mergebase.log4j.Util$CloseFailedException,innerclass,0,0,0,0,1,4,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,6,0,0,0,0,0,0,0,1,0,1,0,0,0,0,6,10,0
