file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
E:\research\repos_analysis\workspace\log4j-detector-eclipse\src\com\mergebase\log4j\CRC64.java,com.mergebase.log4j.CRC64,hash/1[java.lang.String],false,33,2,2,1,1,2,2,4,1,1,1,2,1,1,0,1,0,0,0,0,1,0,0,0,0,0,4,8,0,false
E:\research\repos_analysis\workspace\log4j-detector-eclipse\src\com\mergebase\log4j\CRC64.java,com.mergebase.log4j.CRC64,hash/1[byte[]],false,22,1,1,1,0,3,1,10,1,1,1,1,0,0,1,1,0,2,0,3,3,1,1,0,0,0,19,8,0,false
E:\research\repos_analysis\workspace\log4j-detector-eclipse\src\com\mergebase\log4j\CRC64.java,com.mergebase.log4j.CRC64,(initializer 1),false,8,0,0,0,0,5,0,14,0,3,0,0,0,0,2,1,0,2,0,7,6,1,3,0,0,0,4,8,0,false
E:\research\repos_analysis\workspace\log4j-detector-eclipse\src\com\mergebase\log4j\Throwables.java,com.mergebase.log4j.Throwables,rethrowIfUnchecked/1[java.lang.Throwable],false,5,0,1,1,0,3,0,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,9,0,false
E:\research\repos_analysis\workspace\log4j-detector-eclipse\src\com\mergebase\log4j\Log4JDetector.java,com.mergebase.log4j.Log4JDetector,canonicalize/1[java.io.File],false,717,0,2,2,0,3,4,12,1,0,1,4,0,0,0,0,1,0,2,0,2,1,2,0,0,0,6,10,0,false
E:\research\repos_analysis\workspace\log4j-detector-eclipse\src\com\mergebase\log4j\Log4JDetector.java,com.mergebase.log4j.Log4JDetector,isZipSentinel/1[int[]],false,216,1,2,2,0,5,0,3,1,0,1,0,0,0,0,4,0,0,0,8,0,0,0,0,0,0,7,10,0,false
E:\research\repos_analysis\workspace\log4j-detector-eclipse\src\com\mergebase\log4j\Log4JDetector.java,com.mergebase.log4j.Log4JDetector,getZipStart/1[java.io.InputStream],false,690,2,4,1,3,6,3,25,1,3,1,3,3,1,1,0,1,0,0,5,6,0,4,0,0,0,19,10,0,false
E:\research\repos_analysis\workspace\log4j-detector-eclipse\src\com\mergebase\log4j\Log4JDetector.java,com.mergebase.log4j.Log4JDetector,pop4/1[java.io.InputStream],false,198,1,2,2,0,1,1,8,1,1,1,1,0,0,0,0,0,0,0,5,5,0,0,0,0,0,8,10,0,false
E:\research\repos_analysis\workspace\log4j-detector-eclipse\src\com\mergebase\log4j\Log4JDetector.java,com.mergebase.log4j.Log4JDetector,analyze/1[java.io.File],false,730,4,11,2,9,48,27,210,5,28,1,27,7,3,2,6,0,0,38,2,49,18,14,0,0,0,110,10,0,false
E:\research\repos_analysis\workspace\log4j-detector-eclipse\src\com\mergebase\log4j\Log4JDetector.java,com.mergebase.log4j.Log4JDetector,fileType/1[java.lang.String],false,240,0,2,2,0,9,5,19,4,3,1,5,0,0,0,0,0,0,6,6,3,1,3,0,0,0,22,10,0,true
