file,class,method,variable,usage
E:\research\repos_analysis\workspace\log4j-detector-eclipse\src\com\mergebase\log4j\CRC64.java,com.mergebase.log4j.CRC64,hash/1[java.lang.String],s,2
E:\research\repos_analysis\workspace\log4j-detector-eclipse\src\com\mergebase\log4j\CRC64.java,com.mergebase.log4j.CRC64,hash/1[java.lang.String],bytes,1
E:\research\repos_analysis\workspace\log4j-detector-eclipse\src\com\mergebase\log4j\CRC64.java,com.mergebase.log4j.CRC64,hash/1[byte[]],b,1
E:\research\repos_analysis\workspace\log4j-detector-eclipse\src\com\mergebase\log4j\CRC64.java,com.mergebase.log4j.CRC64,hash/1[byte[]],crc,4
E:\research\repos_analysis\workspace\log4j-detector-eclipse\src\com\mergebase\log4j\CRC64.java,com.mergebase.log4j.CRC64,hash/1[byte[]],bytes,3
E:\research\repos_analysis\workspace\log4j-detector-eclipse\src\com\mergebase\log4j\CRC64.java,com.mergebase.log4j.CRC64,(initializer 1),b,4
E:\research\repos_analysis\workspace\log4j-detector-eclipse\src\com\mergebase\log4j\CRC64.java,com.mergebase.log4j.CRC64,(initializer 1),r,5
E:\research\repos_analysis\workspace\log4j-detector-eclipse\src\com\mergebase\log4j\CRC64.java,com.mergebase.log4j.CRC64,(initializer 1),i,2
E:\research\repos_analysis\workspace\log4j-detector-eclipse\src\com\mergebase\log4j\Throwables.java,com.mergebase.log4j.Throwables,rethrowIfUnchecked/1[java.lang.Throwable],t,4
E:\research\repos_analysis\workspace\log4j-detector-eclipse\src\com\mergebase\log4j\Log4JDetector.java,com.mergebase.log4j.Log4JDetector,canonicalize/1[java.io.File],e,1
E:\research\repos_analysis\workspace\log4j-detector-eclipse\src\com\mergebase\log4j\Log4JDetector.java,com.mergebase.log4j.Log4JDetector,canonicalize/1[java.io.File],f,6
E:\research\repos_analysis\workspace\log4j-detector-eclipse\src\com\mergebase\log4j\Log4JDetector.java,com.mergebase.log4j.Log4JDetector,isZipSentinel/1[int[]],chunk,4
E:\research\repos_analysis\workspace\log4j-detector-eclipse\src\com\mergebase\log4j\Log4JDetector.java,com.mergebase.log4j.Log4JDetector,getZipStart/1[java.io.InputStream],read,3
E:\research\repos_analysis\workspace\log4j-detector-eclipse\src\com\mergebase\log4j\Log4JDetector.java,com.mergebase.log4j.Log4JDetector,getZipStart/1[java.io.InputStream],in,3
E:\research\repos_analysis\workspace\log4j-detector-eclipse\src\com\mergebase\log4j\Log4JDetector.java,com.mergebase.log4j.Log4JDetector,getZipStart/1[java.io.InputStream],pos,6
E:\research\repos_analysis\workspace\log4j-detector-eclipse\src\com\mergebase\log4j\Log4JDetector.java,com.mergebase.log4j.Log4JDetector,getZipStart/1[java.io.InputStream],fourBytes,4
E:\research\repos_analysis\workspace\log4j-detector-eclipse\src\com\mergebase\log4j\Log4JDetector.java,com.mergebase.log4j.Log4JDetector,getZipStart/1[java.io.InputStream],ioe,0
E:\research\repos_analysis\workspace\log4j-detector-eclipse\src\com\mergebase\log4j\Log4JDetector.java,com.mergebase.log4j.Log4JDetector,pop4/1[java.io.InputStream],in,4
E:\research\repos_analysis\workspace\log4j-detector-eclipse\src\com\mergebase\log4j\Log4JDetector.java,com.mergebase.log4j.Log4JDetector,pop4/1[java.io.InputStream],four,5
E:\research\repos_analysis\workspace\log4j-detector-eclipse\src\com\mergebase\log4j\Log4JDetector.java,com.mergebase.log4j.Log4JDetector,analyze/1[java.io.File],ff,1
E:\research\repos_analysis\workspace\log4j-detector-eclipse\src\com\mergebase\log4j\Log4JDetector.java,com.mergebase.log4j.Log4JDetector,analyze/1[java.io.File],isLog4J_1_X,1
E:\research\repos_analysis\workspace\log4j-detector-eclipse\src\com\mergebase\log4j\Log4JDetector.java,com.mergebase.log4j.Log4JDetector,analyze/1[java.io.File],parent,4
E:\research\repos_analysis\workspace\log4j-detector-eclipse\src\com\mergebase\log4j\Log4JDetector.java,com.mergebase.log4j.Log4JDetector,analyze/1[java.io.File],maybe,2
E:\research\repos_analysis\workspace\log4j-detector-eclipse\src\com\mergebase\log4j\Log4JDetector.java,com.mergebase.log4j.Log4JDetector,analyze/1[java.io.File],jdbcConnBytes,1
E:\research\repos_analysis\workspace\log4j-detector-eclipse\src\com\mergebase\log4j\Log4JDetector.java,com.mergebase.log4j.Log4JDetector,analyze/1[java.io.File],parentPath,1
E:\research\repos_analysis\workspace\log4j-detector-eclipse\src\com\mergebase\log4j\Log4JDetector.java,com.mergebase.log4j.Log4JDetector,analyze/1[java.io.File],isLog4J_2_12_2,2
E:\research\repos_analysis\workspace\log4j-detector-eclipse\src\com\mergebase\log4j\Log4JDetector.java,com.mergebase.log4j.Log4JDetector,analyze/1[java.io.File],isLog4J_2_3_1,2
E:\research\repos_analysis\workspace\log4j-detector-eclipse\src\com\mergebase\log4j\Log4JDetector.java,com.mergebase.log4j.Log4JDetector,analyze/1[java.io.File],hasSetUtils,1
E:\research\repos_analysis\workspace\log4j-detector-eclipse\src\com\mergebase\log4j\Log4JDetector.java,com.mergebase.log4j.Log4JDetector,analyze/1[java.io.File],path,4
E:\research\repos_analysis\workspace\log4j-detector-eclipse\src\com\mergebase\log4j\Log4JDetector.java,com.mergebase.log4j.Log4JDetector,analyze/1[java.io.File],isLog4J_2_10,2
E:\research\repos_analysis\workspace\log4j-detector-eclipse\src\com\mergebase\log4j\Log4JDetector.java,com.mergebase.log4j.Log4JDetector,analyze/1[java.io.File],jndiManagerExists,1
E:\research\repos_analysis\workspace\log4j-detector-eclipse\src\com\mergebase\log4j\Log4JDetector.java,com.mergebase.log4j.Log4JDetector,analyze/1[java.io.File],crc,2
E:\research\repos_analysis\workspace\log4j-detector-eclipse\src\com\mergebase\log4j\Log4JDetector.java,com.mergebase.log4j.Log4JDetector,analyze/1[java.io.File],jndiManagerBytes,6
E:\research\repos_analysis\workspace\log4j-detector-eclipse\src\com\mergebase\log4j\Log4JDetector.java,com.mergebase.log4j.Log4JDetector,analyze/1[java.io.File],isVulnerable,2
E:\research\repos_analysis\workspace\log4j-detector-eclipse\src\com\mergebase\log4j\Log4JDetector.java,com.mergebase.log4j.Log4JDetector,analyze/1[java.io.File],jndiLookup,3
E:\research\repos_analysis\workspace\log4j-detector-eclipse\src\com\mergebase\log4j\Log4JDetector.java,com.mergebase.log4j.Log4JDetector,analyze/1[java.io.File],hasJdbcJndiDisabled,4
E:\research\repos_analysis\workspace\log4j-detector-eclipse\src\com\mergebase\log4j\Log4JDetector.java,com.mergebase.log4j.Log4JDetector,analyze/1[java.io.File],fileList,3
