file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
E:\research\repos_analysis\pads2015-2251-ramen.git\trunk\src\jp\ramen\gui\TableCellListener.java,jp.ramen.gui.TableCellListener,class,1,4,3,1,14,1,0,20,1,0.63636357,0.35714287,1.0,11,0,8,3,0,0,8,0,0,0,6,0,0,6,0,0,0,0,1,58,5,0,0,0,0,2,0,14,0,8,2,0,0,0,59,1,0
E:\research\repos_analysis\pads2015-2251-ramen.git\trunk\tests\jp\ramen\MessageRequestTest.java,jp.ramen.MessageRequestTest,class,10,10,0,10,6,1,0,10,0,0.4,1.0,1.0,5,0,5,0,0,0,5,0,0,0,5,0,0,5,0,0,0,0,0,32,0,0,1,0,0,10,1,5,0,5,0,0,0,0,42,1,0
E:\research\repos_analysis\pads2015-2251-ramen.git\trunk\src\jp\ramen\Request.java,jp.ramen.Request,class,3,11,8,3,3,2,2,0,3,0.0,0.0,0.0,3,0,3,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,1025,0
E:\research\repos_analysis\pads2015-2251-ramen.git\trunk\tests\jp\ramen\QuestionTest.java,jp.ramen.QuestionTest,class,9,9,0,9,10,1,0,8,0,0.45714283,1.0,1.0,7,0,7,0,0,0,7,0,0,0,3,0,0,3,0,0,0,0,0,36,0,0,3,0,0,18,3,8,0,8,0,0,0,0,46,1,0
E:\research\repos_analysis\pads2015-2251-ramen.git\trunk\src\jp\ramen\gui\Main.java,jp.ramen.gui.Main$App$ToolBar,innerclass,2,2,0,2,6,2,0,5,0,0.625,1.0,1.0,4,0,4,0,0,0,4,0,0,0,6,3,0,6,0,0,3,0,0,30,0,0,2,0,0,0,7,8,0,6,1,0,0,0,43,2,0
E:\research\repos_analysis\pads2015-2251-ramen.git\trunk\src\jp\ramen\gui\ReviewQuestionWindow.java,jp.ramen.gui.ReviewQuestionWindow,class,5,6,1,5,3,14,0,15,0,0.11111111,NaN,NaN,1,0,1,0,0,0,1,0,0,0,9,3,0,9,0,0,3,0,0,121,0,0,0,0,0,3,3,14,0,15,2,0,2,3,61,1,0
E:\research\repos_analysis\pads2015-2251-ramen.git\trunk\tests\jp\ramen\UserDAOTest.java,jp.ramen.UserDAOTest,class,3,3,0,3,3,1,0,5,1,0.33333334,0.33333334,0.33333334,3,0,3,0,0,0,3,0,0,0,1,0,0,0,0,1,0,0,3,13,0,0,0,0,0,2,0,2,0,2,0,0,0,0,44,1,0
E:\research\repos_analysis\pads2015-2251-ramen.git\trunk\src\jp\ramen\Group.java,jp.ramen.Group,class,4,27,23,4,26,2,2,13,89,0.7969925,0.23529412,0.78431374,19,0,18,1,0,0,18,0,0,0,6,1,0,5,1,0,1,0,2,81,17,1,6,0,1,8,0,13,3,8,1,0,0,0,76,1025,0
E:\research\repos_analysis\pads2015-2251-ramen.git\trunk\tests\jp\ramen\EntityTest.java,jp.ramen.EntityTest,class,4,4,0,4,2,1,0,3,0,0.0,1.0,1.0,2,0,2,0,0,0,2,0,0,0,2,2,0,2,0,0,0,0,0,10,0,0,0,0,0,2,0,2,0,2,0,0,0,0,23,1,0
E:\research\repos_analysis\pads2015-2251-ramen.git\trunk\tests\jp\ramen\GroupTest.java,jp.ramen.GroupTest,class,6,6,0,6,14,1,0,12,0,0.6363637,1.0,1.0,11,0,11,0,0,0,11,0,0,0,2,0,0,2,0,0,0,0,0,44,0,0,3,0,0,15,0,6,0,6,0,0,0,0,57,1,0
E:\research\repos_analysis\pads2015-2251-ramen.git\trunk\src\jp\ramen\User.java,jp.ramen.User,class,6,38,32,6,29,2,2,21,76,0.7875,0.18333334,0.55,16,0,15,0,1,0,16,2,0,0,5,0,0,5,0,0,0,0,4,71,21,1,5,0,0,0,0,6,0,6,2,0,0,0,76,1025,0
E:\research\repos_analysis\pads2015-2251-ramen.git\trunk\src\jp\ramen\gui\Main.java,jp.ramen.gui.Main$Login,innerclass,4,4,0,4,3,5,0,20,0,0.2,NaN,NaN,1,0,1,0,0,0,1,0,0,0,10,5,0,10,0,0,5,0,1,63,0,0,0,1,0,5,14,15,0,15,2,0,0,1,61,18,0
E:\research\repos_analysis\pads2015-2251-ramen.git\trunk\src\jp\ramen\gui\Main.java,jp.ramen.gui.Main$App$GroupDetails$CustomButtonModel,innerclass,0,0,0,0,2,2,0,1,1,1.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,1,0,1,0,0,1,0,0,8,0,0,0,0,0,0,1,1,0,1,0,0,0,0,16,2,0
