file,class,method,variable,usage
E:\research\repos_analysis\pads2015-2251-ramen.git\trunk\src\jp\ramen\gui\TableCellListener.java,jp.ramen.gui.TableCellListener,getNewValue/0,newValue,1
E:\research\repos_analysis\pads2015-2251-ramen.git\trunk\src\jp\ramen\gui\TableCellListener.java,jp.ramen.gui.TableCellListener,getOldValue/0,oldValue,1
E:\research\repos_analysis\pads2015-2251-ramen.git\trunk\src\jp\ramen\gui\TableCellListener.java,jp.ramen.gui.TableCellListener,getColumn/0,column,1
E:\research\repos_analysis\pads2015-2251-ramen.git\trunk\src\jp\ramen\gui\TableCellListener.java,jp.ramen.gui.TableCellListener,getTable/0,table,1
E:\research\repos_analysis\pads2015-2251-ramen.git\trunk\src\jp\ramen\gui\TableCellListener.java,jp.ramen.gui.TableCellListener,processEditingStopped/0,newValue,2
E:\research\repos_analysis\pads2015-2251-ramen.git\trunk\src\jp\ramen\gui\TableCellListener.java,jp.ramen.gui.TableCellListener,processEditingStopped/0,column,1
E:\research\repos_analysis\pads2015-2251-ramen.git\trunk\src\jp\ramen\gui\TableCellListener.java,jp.ramen.gui.TableCellListener,processEditingStopped/0,action,1
E:\research\repos_analysis\pads2015-2251-ramen.git\trunk\src\jp\ramen\gui\TableCellListener.java,jp.ramen.gui.TableCellListener,processEditingStopped/0,row,1
E:\research\repos_analysis\pads2015-2251-ramen.git\trunk\src\jp\ramen\gui\TableCellListener.java,jp.ramen.gui.TableCellListener,processEditingStopped/0,oldValue,1
E:\research\repos_analysis\pads2015-2251-ramen.git\trunk\src\jp\ramen\gui\TableCellListener.java,jp.ramen.gui.TableCellListener,processEditingStopped/0,table,1
E:\research\repos_analysis\pads2015-2251-ramen.git\trunk\src\jp\ramen\gui\TableCellListener.java,jp.ramen.gui.TableCellListener,"TableCellListener/5[javax.swing.JTable,int,int,java.lang.Object,java.lang.Object]",newValue,4
E:\research\repos_analysis\pads2015-2251-ramen.git\trunk\src\jp\ramen\gui\TableCellListener.java,jp.ramen.gui.TableCellListener,"TableCellListener/5[javax.swing.JTable,int,int,java.lang.Object,java.lang.Object]",column,4
