file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
E:\research\repos_analysis\pads2015-2251-ramen.git\trunk\src\jp\ramen\gui\TableCellListener.java,jp.ramen.gui.TableCellListener,getNewValue/0,false,72,0,2,2,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,true
E:\research\repos_analysis\pads2015-2251-ramen.git\trunk\src\jp\ramen\gui\TableCellListener.java,jp.ramen.gui.TableCellListener,getOldValue/0,false,82,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,true
E:\research\repos_analysis\pads2015-2251-ramen.git\trunk\src\jp\ramen\gui\TableCellListener.java,jp.ramen.gui.TableCellListener,getColumn/0,false,62,0,2,2,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,true
E:\research\repos_analysis\pads2015-2251-ramen.git\trunk\src\jp\ramen\gui\TableCellListener.java,jp.ramen.gui.TableCellListener,processEditingStarted/0,false,126,0,1,1,0,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,false
E:\research\repos_analysis\pads2015-2251-ramen.git\trunk\src\jp\ramen\gui\TableCellListener.java,jp.ramen.gui.TableCellListener,getTable/0,false,102,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,true
E:\research\repos_analysis\pads2015-2251-ramen.git\trunk\src\jp\ramen\gui\TableCellListener.java,jp.ramen.gui.TableCellListener,processEditingStopped/0,false,150,1,7,1,6,2,9,8,0,2,0,9,5,1,0,0,0,0,1,0,3,0,1,0,0,0,14,2,0,false
E:\research\repos_analysis\pads2015-2251-ramen.git\trunk\src\jp\ramen\gui\TableCellListener.java,jp.ramen.gui.TableCellListener,"TableCellListener/5[javax.swing.JTable,int,int,java.lang.Object,java.lang.Object]",true,48,0,1,1,0,1,0,7,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,24,2,0,true
E:\research\repos_analysis\pads2015-2251-ramen.git\trunk\src\jp\ramen\gui\TableCellListener.java,jp.ramen.gui.TableCellListener,"TableCellListener/2[javax.swing.JTable,javax.swing.Action]",true,32,0,1,1,0,1,1,5,0,0,2,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,20,1,0,true
E:\research\repos_analysis\pads2015-2251-ramen.git\trunk\src\jp\ramen\gui\TableCellListener.java,jp.ramen.gui.TableCellListener,getRow/0,false,92,0,2,2,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,true
E:\research\repos_analysis\pads2015-2251-ramen.git\trunk\src\jp\ramen\gui\TableCellListener.java,jp.ramen.gui.TableCellListener,run/0,false,139,0,0,0,0,1,6,6,0,0,0,6,0,0,0,0,0,0,0,0,4,0,0,0,0,0,7,1,0,false
E:\research\repos_analysis\pads2015-2251-ramen.git\trunk\src\jp\ramen\gui\TableCellListener.java,jp.ramen.gui.TableCellListener,propertyChange/1[java.beans.PropertyChangeEvent],false,110,1,2,0,2,3,5,6,0,0,1,5,2,2,0,0,0,0,1,0,0,0,2,0,0,0,9,1,0,false
