file,class,method,variable,usage
E:\research\repos_analysis\pads2015-2251-ramen.git\trunk\src\jp\ramen\gui\TableCellListener.java,jp.ramen.gui.TableCellListener,processEditingStopped/0,tcl,1
E:\research\repos_analysis\pads2015-2251-ramen.git\trunk\src\jp\ramen\gui\TableCellListener.java,jp.ramen.gui.TableCellListener,processEditingStopped/0,event,1
E:\research\repos_analysis\pads2015-2251-ramen.git\trunk\src\jp\ramen\gui\TableCellListener.java,jp.ramen.gui.TableCellListener,"TableCellListener/5[javax.swing.JTable,int,int,java.lang.Object,java.lang.Object]",newValue,2
E:\research\repos_analysis\pads2015-2251-ramen.git\trunk\src\jp\ramen\gui\TableCellListener.java,jp.ramen.gui.TableCellListener,"TableCellListener/5[javax.swing.JTable,int,int,java.lang.Object,java.lang.Object]",column,2
E:\research\repos_analysis\pads2015-2251-ramen.git\trunk\src\jp\ramen\gui\TableCellListener.java,jp.ramen.gui.TableCellListener,"TableCellListener/5[javax.swing.JTable,int,int,java.lang.Object,java.lang.Object]",row,2
E:\research\repos_analysis\pads2015-2251-ramen.git\trunk\src\jp\ramen\gui\TableCellListener.java,jp.ramen.gui.TableCellListener,"TableCellListener/5[javax.swing.JTable,int,int,java.lang.Object,java.lang.Object]",oldValue,2
E:\research\repos_analysis\pads2015-2251-ramen.git\trunk\src\jp\ramen\gui\TableCellListener.java,jp.ramen.gui.TableCellListener,"TableCellListener/5[javax.swing.JTable,int,int,java.lang.Object,java.lang.Object]",table,2
E:\research\repos_analysis\pads2015-2251-ramen.git\trunk\src\jp\ramen\gui\TableCellListener.java,jp.ramen.gui.TableCellListener,"TableCellListener/2[javax.swing.JTable,javax.swing.Action]",action,2
E:\research\repos_analysis\pads2015-2251-ramen.git\trunk\src\jp\ramen\gui\TableCellListener.java,jp.ramen.gui.TableCellListener,"TableCellListener/2[javax.swing.JTable,javax.swing.Action]",table,3
E:\research\repos_analysis\pads2015-2251-ramen.git\trunk\src\jp\ramen\gui\TableCellListener.java,jp.ramen.gui.TableCellListener,propertyChange/1[java.beans.PropertyChangeEvent],e,1
E:\research\repos_analysis\pads2015-2251-ramen.git\trunk\src\jp\ramen\Request.java,jp.ramen.Request,"Request/4[java.lang.String,java.lang.String,jp.ramen.User,jp.ramen.Entity]",subject,1
E:\research\repos_analysis\pads2015-2251-ramen.git\trunk\src\jp\ramen\Request.java,jp.ramen.Request,"Request/4[java.lang.String,java.lang.String,jp.ramen.User,jp.ramen.Entity]",author,1
E:\research\repos_analysis\pads2015-2251-ramen.git\trunk\src\jp\ramen\Request.java,jp.ramen.Request,"Request/4[java.lang.String,java.lang.String,jp.ramen.User,jp.ramen.Entity]",text,1
E:\research\repos_analysis\pads2015-2251-ramen.git\trunk\src\jp\ramen\Request.java,jp.ramen.Request,"Request/4[java.lang.String,java.lang.String,jp.ramen.User,jp.ramen.Entity]",to,1
E:\research\repos_analysis\pads2015-2251-ramen.git\trunk\src\jp\ramen\Request.java,jp.ramen.Request,"Request/4[java.lang.String,java.lang.String,boolean,java.sql.Date]",subject,1
E:\research\repos_analysis\pads2015-2251-ramen.git\trunk\src\jp\ramen\Request.java,jp.ramen.Request,"Request/4[java.lang.String,java.lang.String,boolean,java.sql.Date]",text,1
E:\research\repos_analysis\pads2015-2251-ramen.git\trunk\src\jp\ramen\Request.java,jp.ramen.Request,"Request/4[java.lang.String,java.lang.String,boolean,java.sql.Date]",acpt,1
E:\research\repos_analysis\pads2015-2251-ramen.git\trunk\src\jp\ramen\Request.java,jp.ramen.Request,"Request/4[java.lang.String,java.lang.String,boolean,java.sql.Date]",time,1
E:\research\repos_analysis\pads2015-2251-ramen.git\trunk\src\jp\ramen\Request.java,jp.ramen.Request,setRequest/1[boolean],accepted,0
E:\research\repos_analysis\pads2015-2251-ramen.git\trunk\tests\jp\ramen\QuestionTest.java,jp.ramen.QuestionTest,testWhoAnswered/0,a,0
E:\research\repos_analysis\pads2015-2251-ramen.git\trunk\tests\jp\ramen\QuestionTest.java,jp.ramen.QuestionTest,testAddAnswer/0,a,0
E:\research\repos_analysis\pads2015-2251-ramen.git\trunk\tests\jp\ramen\QuestionTest.java,jp.ramen.QuestionTest,testAddAnswerTwice/0,a,1
E:\research\repos_analysis\pads2015-2251-ramen.git\trunk\src\jp\ramen\gui\Main.java,jp.ramen.gui.Main$App$ToolBar,leftAdd/1[java.awt.Component],comp,5
E:\research\repos_analysis\pads2015-2251-ramen.git\trunk\src\jp\ramen\gui\Main.java,jp.ramen.gui.Main$App$ToolBar,rightAdd/1[java.awt.Component],comp,5
E:\research\repos_analysis\pads2015-2251-ramen.git\trunk\src\jp\ramen\gui\Main.java,jp.ramen.gui.Main$App$ToolBar,setLayout/1[java.awt.LayoutManager],mgr,0
E:\research\repos_analysis\pads2015-2251-ramen.git\trunk\src\jp\ramen\gui\Main.java,jp.ramen.gui.Main$App$ToolBar,ToolBar/1[int],orientation,1
